11亿金=50.00元【绿色商品，安全迅速】,http://consignment.5173.com/detail/JS253-20181029-49857191.shtml,双线区/尼克西斯,游戏币,50,2018-10-30 00:02,2018-11-02 16:21:32
出一击回蓝新项链,http://consignment.5173.com/detail/JS064-20181021-02349605.shtml,电信1区/电信1区,装备,298,2018-10-30 00:06,2018-11-02 16:21:32
13.2亿金=100.00元【绿色商品，安全迅速】,http://consignment.5173.com/detail/JS081-20181028-86388369.shtml,双线区/赛安特,游戏币,100,2018-10-30 00:08,2018-11-02 16:21:32
格斗三代翅膀斗皇披风+11Z16,http://danbao.5173.com/detail/DB172-20181029-25005010.shtml,电信1区/电信1区,装备,1258,2018-10-30 00:19,2018-11-02 16:21:32
十一暴风之翼追16防御,http://consignment.5173.com/detail/JS064-20181019-70777362.shtml,双线区/迪格里斯,装备,500,2018-10-30 00:24,2018-11-02 16:21:32
【圣导师套装】……强化莱斯圣魂一套+老阿莱斯（4+3混套）+加减十字架盾【优侠】,http://consignment.5173.com/detail/JS101-20181018-48430125.shtml,双线区/赛安特,装备,298,2018-10-30 00:30,2018-11-02 16:21:32
出黑狼一头炎狼兽之角破坏《祝福灵魂大天使》保证有货,http://consignment.5173.com/detail/JS064-20181027-74967686.shtml,双线区/撒拉曼德,装备,266,2018-10-30 00:32,2018-11-02 16:21:32
1.36亿金=10.00元【绿色商品，安全迅速】,http://consignment.5173.com/detail/JS011-20181029-83611111.shtml,双线区/赛安特,游戏币,10,2018-10-30 00:39,2018-11-02 16:21:32
13 PX传说套，腿鞋 全属性，戒指5智，共6件,http://danbao.5173.com/detail/DB145-20181027-08081426.shtml,VIP区/Vip1,装备,250,2018-10-30 00:41,2018-11-02 16:21:32
强化白金3件套（强白敏格斗体格斗皇强龙敏战士贝加）,http://consignment.5173.com/detail/JS064-20181005-73834917.shtml,电信区/萨迪洛斯,装备,20,2018-10-30 00:41,2018-11-02 16:21:32
13幸运强化龙王,配13幸运老黄金,13极品破坏,http://consignment.5173.com/detail/JS166-20181029-82680701.shtml,双线区/尼克西斯,装备,599,2018-10-30 00:51,2018-11-02 16:21:32
1.36亿金=10.00元【绿色商品，安全迅速】,http://consignment.5173.com/detail/JS253-20181029-77277915.shtml,双线区/赛安特,游戏币,10,2018-10-30 00:54,2018-11-02 16:21:32
13追16玫菲尔精灵套带卓越+13配件 老精灵套（总5件。看图片）,http://consignment.5173.com/detail/JS071-20180806-73660193.shtml,VIP区/Vip1,装备,166,2018-10-30 00:55,2018-11-02 16:21:32
